Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Freilich, Mara A; Connolly, Sean R; ",Phylogenetic community structure when competition and environmental filtering determine abundances,Global ecology and biogeography,24,12,1390-1400,2015,
"Gordon, Arnold L; Shroyer, Emily L; Mahadevan, Amala; Sengupta, Debasis; Freilich, Mara; ",Bay of Bengal: 2013 northeast monsoon upper-ocean circulation,Oceanography,29,2,82-91,2016,The Oceanography Society
"Mahadevan, Amala; Jaeger, Gualtiero Spiro; Freilich, Mara; Omand, Melissa M; Shroyer, Emily L; Sengupta, Debasis; ",Freshwater in the Bay of Bengal: Its fate and role in air-sea heat exchange,Oceanography,29,2,72-81,2016,The Oceanography Society
"Lucas, Andrew J; Nash, Jonathan D; Pinkel, Robert; MacKinnon, Jennifer A; Tandon, Amit; Mahadevan, Amala; Omand, Melissa M; Freilich, Mara; Sengupta, Debasis; Ravichandran, M; ",Adrift upon a salinity-stratified sea: A view of upper-ocean processes in the Bay of Bengal during the southwest monsoon,Oceanography,29,2,134-145,2016,The Oceanography Society
"Freilich, Mara; ",Mathematical Modeling of Oceanic Phytoplankton Blooms in Chaotic Flows,,,,,2015,"Division of Applied Math, Brown University"
"Freilich, Mara A; Wieters, Evie; Broitman, Bernardo R; Marquet, Pablo A; Navarrete, Sergio A; ",Species co‐occurrence networks: can they reveal trophic and non‐trophic interactions in ecological communities?,Ecology,99,3,690-699,2018,
"Freilich, Mara A; Mahadevan, Amala; ",Decomposition of vertical velocity for nutrient transport in the upper ocean,Journal of Physical Oceanography,49,6,1561-1575,2019,
"Shroyer, Emily L; Gordon, Arnold L; Jaeger, Gualtiero Spiro; Freilich, Mara; Waterhouse, Amy F; Farrar, J Thomas; Sarma, VVSS; Venkatesan, R; Weller, Robert A; Moum, James N; ",Upper layer thermohaline structure of the Bay of Bengal during the 2013 northeast monsoon,Deep Sea Research Part II: Topical Studies in Oceanography,172,,104630,2020,Pergamon
"Dever, Mathieu; Freilich, Mara; Farrar, J Thomas; Hodges, Benjamin; Lanagan, Tom; Baron, Andrew J; Mahadevan, Amala; ",EcoCTD for profiling oceanic physical–biological properties from an underway ship,Journal of Atmospheric and Oceanic Technology,37,5,825-840,2020,
"Freilich, Mara A; Rebolledo, Rolando; Corcoran, Derek; Marquet, Pablo A; ",Reconstructing ecological networks with noisy dynamics,Proceedings of the Royal Society A,476,2237,20190739,2020,The Royal Society Publishing
"Dever, Mathieu; Freilich, Mara; Hodges, Benjamin A; Farrar, J Thomas; Lanagan, Thomas; Mahadevan, Amala; ",UCTD and EcoCTD observations from the CALYPSO pilot experiment (2018): Cruise and data report,,,,,2019,Woods Hole Oceanographic Institution
